Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
5,Vladimir RadmanoviÄ‡,27,21,481,11.7,0.547,0.04,5.8,13.2,9.7,10.3,1.4,0.2,,0.4,0.4,0.8,0.076,,0.8,0.0,0.7,0.3,2008,LAL,0.05263157894736842,12.0,16.7,,,0.517,,
7,Marc Iavaroni,26,13,283,10.4,0.5589999999999999,0.34600000000000003,8.9,13.4,11.2,8.8,1.4,1.4,,0.3,0.4,0.7,0.115,,0.5,0.7,1.2,0.2,1983,PHI,0.05263157894736842,17.8,10.7,,,0.0,,
6,Clint Richardson,26,13,319,9.6,0.486,0.205,5.0,8.5,6.8,9.6,2.3,0.5,,0.2,0.4,0.6,0.092,,-0.5,0.8,0.3,0.2,1983,PHI,0.05263157894736842,13.4,13.6,,,0.0,,
6,BoÅ¡tjan Nachbar,26,12,281,12.5,0.568,0.23199999999999998,2.2,12.5,7.5,11.9,1.3,0.3,,0.2,0.4,0.6,0.102,,-0.5,0.3,-0.2,0.1,2007,NJN,0.05263157894736842,14.7,21.0,,,0.505,,
8,Luke Walton,27,21,353,13.2,0.5539999999999999,0.371,4.5,13.3,9.1,18.2,1.6,0.9,,0.4,0.3,0.7,0.099,,-0.1,1.3,1.2,0.3,2008,LAL,0.05263157894736842,15.1,17.3,,,0.268,,
7,Antoine Wright,22,12,163,10.7,0.569,0.278,3.7,13.0,8.4,1.1,1.7,2.0,,0.1,0.3,0.4,0.115,,-2.1,1.6,-0.6,0.1,2007,NJN,0.05263157894736842,11.0,13.4,,,0.16699999999999998,,
4,Rafer Alston,32,23,740,11.8,0.47100000000000003,0.158,0.5,8.9,4.8,22.4,2.4,0.4,,-0.2,0.9,0.7,0.043,,-1.2,0.9,-0.3,0.3,2009,ORL,0.05172413793103448,11.8,22.1,,,0.405,,
9,Marcin Gortat,24,24,271,15.6,0.6609999999999999,0.308,8.4,26.7,17.6,1.9,1.8,4.4,,0.4,0.5,0.9,0.165,,-1.1,3.4,2.3,0.3,2009,ORL,0.05172413793103448,15.7,12.5,,,0.0,,
5,Keith Bogans,30,16,307,9.3,0.579,0.057999999999999996,1.5,6.3,3.9,6.4,1.8,0.8,,0.4,0.4,0.7,0.11699999999999999,,-0.7,1.6,0.9,0.2,2011,CHI,0.051282051282051294,9.0,11.7,,,0.855,,
4,Carlos Boozer,29,16,507,15.2,0.494,0.337,9.2,27.6,18.2,10.0,1.0,1.1,,0.4,0.9,1.3,0.126,,-0.4,0.2,-0.3,0.2,2011,CHI,0.051282051282051294,12.0,21.2,,,0.006,,
5,Michael Finley,34,17,391,8.8,0.514,0.084,0.3,9.4,4.9,7.0,0.7,0.6,,0.2,0.4,0.5,0.066,,-1.1,0.8,-0.3,0.2,2008,SAS,0.051282051282051294,5.1,14.3,,,0.486,,
6,Fabricio Oberto,32,17,331,9.4,0.625,0.217,5.2,19.5,12.4,9.3,1.0,1.1,,0.3,0.5,0.7,0.107,,-3.2,3.0,-0.2,0.2,2008,SAS,0.051282051282051294,21.7,9.3,,,0.0,,
8,Goran DragiÄ‡,23,16,237,17.2,0.537,0.31,5.2,9.5,7.4,24.9,0.9,0.3,,0.5,0.0,0.5,0.099,,2.8,-1.9,0.9,0.2,2010,PHO,0.05128205128205129,12.3,25.1,,,0.4,,
8,Gary Neal,27,14,217,14.6,0.598,0.159,0.6,8.8,4.8,14.3,0.5,0.0,,0.4,0.1,0.5,0.11599999999999999,,1.4,-0.1,1.3,0.2,2012,SAS,0.05128205128205128,11.1,21.2,,,0.439,,
7,Danny Green,24,14,289,11.7,0.54,0.11,1.3,16.3,9.1,7.9,1.3,2.5,,0.1,0.3,0.4,0.065,,-0.1,1.2,1.1,0.2,2012,SAS,0.05128205128205128,13.6,17.8,,,0.637,,
7,Steve Kerr,31,19,341,11.8,0.5710000000000001,0.182,1.3,5.0,3.1,9.4,2.8,0.5,,0.5,0.5,1.0,0.14400000000000002,,0.0,2.0,2.0,0.3,1997,CHI,0.05084745762711864,8.8,12.5,,,0.545,,
